NOM,ADRESSE,ARRONDISSEMENT,DISTRICT,TELEPHONE,Catégorie
Centre communautaire Saint-François-de-Sales,"1545, boulevard Jacques-Cartier Est Longueuil QC CA J4M2B5",Arrondissement du Vieux-Longueuil,District 02 - Vieux-Longueuil,450 468-4015,
Centre communautaire Saint-Robert,"701, rue Duhamel Longueuil QC CA J4L4M2",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 679-2600,
Centre culturel Bienville,"3500, boulevard Mountainview Saint-Hubert QC CA J3Y5N5",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311,Tourisme
Centre culturel Boisvert,"6005, boulevard Payer Saint-Hubert QC CA J3Y8A6",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311,Tourisme
Centre culturel Immaculée-Conception,"3675, rue Rocheleau Saint-Hubert QC CA J3Y6C6",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311,Tourisme
Centre culturel Jacques-Ferron,"100, rue Saint-Laurent Ouest Longueuil QC CA J4H1M1",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311,Tourisme
Centre culturel Labrosse,"3880, rue Labrosse Saint-Hubert QC CA J3Y3C8",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311,Tourisme
Centre culturel Meunier,"525, rue Latour Saint-Hubert QC CA J3Y6A9",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311,Tourisme
Centre culturel Pierre-et-Bernard-Lucas,"2060, rue Holmes Saint-Hubert QC CA J4T1R5",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311,Tourisme
Centre culturel Saint-Thomas-de-Villeneuve,"5400, boulevard Payer Saint-Hubert QC CA J3Y1J4",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311,Tourisme
Centre de quartier Lionel-Groulx,"267, rue Toulouse Longueuil QC CA J4L4X1",Arrondissement du Vieux-Longueuil,District 05 - Vieux-Longueuil,450 442-4419,Tourisme
Centre éducatif et communautaire Sainte-Agnès,"1900, rue Saint-Georges Longueuil QC CA J4P3J4",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 463-7311,Tourisme
Centre Jeanne-Dufresnoy,"1, boulevard Curé-Poirier Est Longueuil QC CA J4J5K7",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 463-7311,Tourisme
Centre Lajeunesse,"120, rue René-Philippe LeMoyne QC CA J4R2K1",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 463-7311,Tourisme
Centre Multi-Sports du Collège Français,"1720, boulevard Curé-Poirier Est Longueuil QC CA J4J5L6",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,450 448-8226,Tourisme
Centre Olympia,"2950, rue Dumont Longueuil QC CA J4L3S9",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 463-7311,Tourisme
Centre René-Veillet,"1050,  Greenfield Park QC CA J4V1B4",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311,Tourisme
Centre Roger-Doucet,"185, rue Empire Greenfield Park QC CA J4V1T9",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311,Tourisme
Centre Sénéchal,"1882, rue Saint-Georges Longueuil QC CA J4P3J4",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 671-9911,Tourisme
Centre sportif et récréatif,"1175, chemin du Coteau-Rouge Longueuil QC CA J4K1X1",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 463-7311,Tourisme
Centre sportif Gaétan-Boucher,"3850, rue Edgar Saint-Hubert QC CA J4T3C8",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 656-0200,Tourisme
Centre sportif Montpetit,"260, rue De Gentilly Est Longueuil QC CA J4H4A4",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 651-4720,Tourisme
Centre sportif Rosanne-Laflamme,"7405,  Saint-Hubert QC CA J3Y7K8",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311,Tourisme
Centre Vie de quartier Notre-Dame-de-la-Garde,"1278, rue Papineau Longueuil QC CA J4K3L1",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 670-0990,Tourisme
Chalet Armand-Racicot,"735, rue Saint-Jean Longueuil QC CA J4H2Y8",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311,Tourisme
Chalet Bellerive,"845, rue Maple Longueuil QC CA J4J4N3",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,450 646-8901,Tourisme
Chalet Carillon,"1405, rue Laurier Longueuil QC CA J4J4H3",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 463-7311,Tourisme
Chalet Champvert,"3085, rue Moreau Longueuil QC CA J4L4M5",Arrondissement du Vieux-Longueuil,District 05 - Vieux-Longueuil,450 463-7311,Tourisme
Chalet de Normandie,"450, rue de Normandie Longueuil QC CA J4H3P4",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311,Tourisme
Chalet de tennis Saint-Charles,"280, rue Montarville Longueuil QC CA J4H2L7",Arrondissement du Vieux-Longueuil,District 13 - Saint-Hubert,450 646-8698,Tourisme
Chalet Fonrouge,"301, rue Cuvillier Est Longueuil QC CA J4L4T7",Arrondissement du Vieux-Longueuil,District 05 - Vieux-Longueuil,450 463-7311,Tourisme
Chalet Jean-de-Lalande,"1681, rue Bourassa Longueuil QC CA J4J3A5",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 463-7311,Tourisme
Chalet Laurier,"2099, rue Laurier Longueuil QC CA J4J4J4",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 463-7311,Tourisme
Chalet Marquette,",  Longueuil QC CA J4K4J8",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 463-7311,Tourisme
Chalet Paul-Pratt,"475,  Longueuil QC CA J4H3P4",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311,Tourisme
Chalet Raymond,"1000, rue De Lorimier Longueuil QC CA J4K3N1",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 463-7311,Tourisme
Chalet Saint-Charles,"195, rue de Châteauguay Longueuil QC CA J4H2K8",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311,Tourisme
Club de généalogie,"763, rue Després Longueuil QC CA J4J5E4",,District 07 - Vieux-Longueuil,450 670-1869,Tourisme
Colisée Jean-Béliveau,"1755, boulevard Jacques-Cartier Est Longueuil QC CA J4N1A1",,District 02 - Vieux-Longueuil,450 463-7311,Tourisme
Collège Édouard-Montpetit,"945, chemin de Chambly Longueuil QC CA J4H3M6",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 679-2630,
Collège Français (primaire),"1391, rue Beauregard Longueuil QC CA J4K2M3",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 670-7391,
Collège Français (secondaire),"1340, boulevard Nobert Longueuil QC CA J4K2P4",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 460-0350,
Complexe sportif Longueuil,"550, boulevard Curé-Poirier Ouest Longueuil QC CA J4J2H6",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 679-6131,Tourisme
École Adrien-Gamache,"2375, rue Lavallée Longueuil QC CA J4L1R5",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 468-3402,
École Armand-Racicot,"965, rue Saint-Thomas Longueuil QC CA J4H3B2",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 670-5470,
École Bel-Essor,"1250, chemin Du Tremblay Longueuil QC CA J4N1A2",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,450 468-0833,
École Bourgeoys-Champagnat,"2180, rue Brébeuf Longueuil QC CA J4J3P8",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 674-6420,
École Carillon,"1360, rue Laurier Longueuil QC CA J4J4H2",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 674-3210,
Ecole Centennial Regional High School,"880, rue Hudson Greenfield Park QC CA J4V1H1",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 656-6100,
École Charles-LeMoyne,"2525, rue Coderre Saint-Hubert QC CA J3Y4N6",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 678-0078,
École Charlotte-Tassé,"2101, rue Lavallée Longueuil QC CA J4J4E7",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,,
École Christ-Roi,"3000, rue Dumont Longueuil QC CA J4L3S9",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 674-7062,
École Curé-Lequin,"653, rue Préfontaine Longueuil QC CA J4K3V8",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 670-7581,
École de Maricourt,"3675, rue Coderre Saint-Hubert QC CA J3Y4P4",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 678-0201,
École de Normandie,"450, rue de Normandie Longueuil QC CA J4H3P4",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 679-4650,
École des arts de la scène Nos Voix Nos Visages,"2516, rue Sainte-Hélène Longueuil QC CA J4K3V2",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 442-0740,
École des Mille-Fleurs,"1600, rue de Monaco Saint-Hubert QC CA J3Z1B7",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 462-3844,
École des Petits-Explorateurs,"1711, rue Bourassa Longueuil QC CA J4J3A5",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 616-8035 Poste 4083,
École Des Remparts,"2115, rue Gamache Longueuil QC CA J4J4A3",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 468-3604,
École du Tournesol,"2515, rue de Boulogne Longueuil QC CA J4L4A3",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 674-9145,
École Félix-Leclerc,"1450, rue de Wagram Longueuil QC CA J4K1G1",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 651-7768,
École Gaétan-Boucher,"4850, boulevard Westley Saint-Hubert QC CA J3Y2T4",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 656-5521,
École Gentilly,"1280, rue Beauharnois Longueuil QC CA J4M1C2",Arrondissement du Vieux-Longueuil,District 02 - Vieux-Longueuil,450 468-1267,
École George-Étienne-Cartier,"3455, rue Soissons Longueuil QC CA J4L3M5",Arrondissement du Vieux-Longueuil,District 05 - Vieux-Longueuil,450 463-1406,
École Hubert-Perron,"1100, rue Beauregard Longueuil QC CA J4K2L1",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 674-7784,
École internationale du Vieux-Longueuil,"2301, boulevard Fernand-Lafontaine Longueuil QC CA J4N1N7",,,,
École Jacques-Ouellette,"1240, boulevard Nobert Longueuil QC CA J4K2P4",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 670-2951,
École Jardin-Bienville,"3950,  Saint-Hubert QC CA J3Y0C1",,,,
École Joseph-De Sérigny,"1000, chemin du Lac Longueuil QC CA J4J1W3",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,450 468-1247,
École Lajeunesse,"160, rue René-Philippe LeMoyne QC CA J4R2K1",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 671-7293 Poste 8050,
École La Mosaïque,"6905, boulevard Maricourt Saint-Hubert QC CA J3Y1T2",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 676-3101,
École Laurent-Benoît,"5905, avenue Laurent-Benoît Saint-Hubert QC CA J3Y6H1",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 656-2010,
École le Déclic,"1180, rue Saint-Édouard Longueuil QC CA J4K1T2",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 646-2628,
École Lemoyne-D Iberville CEA,"560, rue Le Moyne Ouest Longueuil QC CA J4H1X3",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 670-3130,
École Le Retour,"1600, rue Bourassa Longueuil QC CA J4J3A4",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 670-0730 Poste 242,
École les petits castors,"2101, rue Lavallée Longueuil QC CA J4J4E7",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 674-8631,
École Lionel-Groulx,"2725, rue Plessis Longueuil QC CA J4L1S3",Arrondissement du Vieux-Longueuil,District 02 - Vieux-Longueuil,450 651-6104,
École Lucille-Teasdale,"8350,  Brossard QC CA J4X1M8",Arrondissement du Vieux-Longueuil,,,
École Marie-Victorin (pavillon le Jardin),"2190, rue Limoges Longueuil QC CA J4G1E3",Arrondissement du Vieux-Longueuil,District 01 - Vieux-Longueuil,450 674-1388,
École Marie-Victorin (Pavillon l'Herbier),"45, rue Hémond Longueuil QC CA J4G1K2",Arrondissement du Vieux-Longueuil,District 01 - Vieux-Longueuil,450 674-1388,
École Maurice-L.Duplessis,"3225, rue Windsor Saint-Hubert QC CA J4T2X3",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 678-1575,
École Mille-Sports,"8370, avenue Gervais Saint-Hubert QC CA J3Y7Y9",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 678-0670,
École Monseigneur-Forget,"1700, rue De Gaulle Saint-Hubert QC CA J4T1M8",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 678-2404,
École Notre-Dame,"695, rue Duvernay Longueuil QC CA J4K4K9",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 677-2641,
École Paul-De Maricourt,"1275, rue Papineau Longueuil QC CA J4K3K9",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 674-1753,
École Plein Soleil,"2180, rue Brébeuf Longueuil QC CA J4J3P8",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 674-7044,
École primaire Pierre-D'Iberville,"897, rue Maple Longueuil QC CA J4J4N3",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,450 674-3285,
École Sainte-Claire,"805, rue Gardenville Longueuil QC CA J4J3B3",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 670-0211,
École Saint-Jean-Baptiste,"700, rue Duvernay Longueuil QC CA J4K4L1",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 679-3990,
École Saint-Romain,"1995, rue Bédard Longueuil QC CA J4N1B4",Arrondissement du Vieux-Longueuil,District 01 - Vieux-Longueuil,450 468-1226,
École secondaire André-Laurendeau,"7450, boulevard Cousineau Saint-Hubert QC CA J3Y3L4",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 678-2080,
École secondaire Antoine-Brossard,"3055,  Brossard QC CA J4Y1S9",,,,
École secondaire Gérard-Filion,"1330, boulevard Curé-Poirier Ouest Longueuil QC CA J4K2G8",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 679-9100,
École secondaire Jacques-Rousseau,"444, rue De Gentilly Est Longueuil QC CA J4H3X7",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 651-6800,
École secondaire Mgr-A.-M.-Parent,"3875, Grande Allée Saint-Hubert QC CA J4T2V8",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 676-0261,
École secondaire régionale Héritage,"7445, chemin de Chambly Saint-Hubert QC CA J3Y3S3",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 678-1070,
École Vieux-Greenfield Park,"482,  Greenfield Park QC CA J4V1Y1",,,,
Édifice du métro de Longueuil,"100,  Longueuil QC CA J4K2T4",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,,
Édifice Marcel-Robidas,"300, rue Saint-Charles Ouest Longueuil QC CA J4H1E6",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311,Tourisme
Église Saint-Georges,"700, rue Préfontaine Longueuil QC CA J4K3V9",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 677-6369,
Église St. Mark,"310, rue Saint-Charles Ouest Longueuil QC CA J4H1E5",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,,
É. Marcelle-Gauvreau,"4405,  Brossard QC CA J4Z3S8",,,,
Groupe action nouvelle vie,"740, rue Saint-Charles Est Longueuil QC CA J4H1C2",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 646-5815,Tourisme
Hébergement La Casa,"1215, chemin du Coteau-Rouge Longueuil QC CA J4K1X4",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 442-4777,
Hébergement maison de la paix,"1617, rue Sainte-Hélène Longueuil QC CA J4K3S8",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,,
L'Antre-Temps,"950, boulevard Roland-Therrien Longueuil QC CA J4J5H3",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 651-0125,Tourisme
Les Barbaparents,"542, rue Antoinette-Robidoux Longueuil QC CA J4J2V7",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 448-3454,Tourisme
Le Zocalo,"80, rue Saint-Jean Longueuil QC CA J4H2W9",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 679-5341,Tourisme
Local de L'APHRSM,"2545, rue De Lorimier Longueuil QC CA J4K3P7",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,,Tourisme
Local des chevaliers de Colomb conseil 3967,"276,  Saint-Lambert QC CA J4S1V8",Arrondissement du Vieux-Longueuil,District 12 - Saint-Hubert,,Tourisme
Local des chevaliers de Colomb conseil 3967,"1685, rue Westgate Longueuil QC CA J4K4P6",Arrondissement du Vieux-Longueuil,District 12 - Saint-Hubert,,Tourisme
Maison Boulogne (HLM),"2455, rue de Boulogne #504 Longueuil QC CA J4L2J7",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 646-5347,
Maison Carillon (HLM),"1501, rue Lavallée #308 Longueuil QC CA J4J4Z1",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 651-8361,
Maison de ferme du parc Michel-Chartrand (Parc régional),"1800, chemin du Lac Longueuil QC CA J4J4V5",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,,
Maison de jeunes Kekpart,"1000, boulevard Roland-Therrien Longueuil QC CA J4J5H3",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 677-3821,
Maison de jeunes Sac-Ado,"3025, rue de Lyon Longueuil QC CA J4L3R6",Arrondissement du Vieux-Longueuil,District 05 - Vieux-Longueuil,450 677-7254,
Maison de Jonathan,"81, rue Saint-Jean Longueuil QC CA J4H2W8",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 670-4099,
Maison de la Famille le Cavalier,"2027, rue Daniel Longueuil QC CA J4J3N4",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 646-8808,
Maison de quartier Saint-Jean-Vianney,"2255, rue Cartier Longueuil QC CA J4K4G1",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,,
Maison des jeunes de Longueuil,"540, rue Antoinette-Robidoux Longueuil QC CA J4J2V7",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 468-5907,
Maison des Mutins,"733, rue Saint-Jean Longueuil QC CA J4H2Y7",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 679-3620,
Maison des Scouts,"782, rue Saint-Jean Longueuil QC CA J4H2Y7",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 422-3548,
Maison Gisèle-Auprix-St-Germain,"150, rue Grant Longueuil QC CA J4H3H6",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 679-6654,
Maison Jacques-Ferron,"2250, rue Cartier Longueuil QC CA J4K4E9",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,,
Maison Lamarre,"250, rue Saint-Charles Est Longueuil QC CA J4H1A9",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,,
Maison La Virevolte,"335, rue Le Moyne Ouest Longueuil QC CA J4H1W4",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 651-1901,
Maison Le Réveil,"930, rue Saint-Jacques Longueuil QC CA J4H3E2",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 670-5268,
Maison Oasis Caroline (HLM),"250, chemin de Chambly Longueuil QC CA J4H3W8",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,,
Marché public,"4200, chemin de la Savane Longueuil QC CA J3Y9G4",Arrondissement de Saint-Hubert,District 12 - Saint-Hubert,,
Parc Armand-Bruno,"1287,  Saint-Hubert QC CA J4T1H9",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311,
Parc Armand-Racicot,"735, rue Saint-Jean Longueuil QC CA J4H2Y8",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311,
Parc Arsène Lafrance,",  Longueuil QC CA J4G1N4",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,,
Parc Bariteau,"1882, rue Saint-Georges LeMoyne QC CA J4P3J4",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 463-7311,
Parc Bédard,"2195, rue Bédard Longueuil QC CA J4N1B4",,District 02 - Vieux-Longueuil,450 463-7311,
Parc Bellerive,"845, rue Maple Longueuil QC CA J4J4N3",,District 03 - Vieux-Longueuil,450 463-7311,
Parc Boisvert,"6005, boulevard Payer Saint-Hubert QC CA J3Y8A6",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311,
Parc Campbell,"6940,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311,
Parc Carillon,"1405, rue Laurier Longueuil QC CA J4J4H3",,District 04 - Vieux-Longueuil,450 463-7311,
Parc Catherine-Primot,"195, rue de Châteauguay Longueuil QC CA J4H2K8",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311,
Parc Champvert,"3085, rue Moreau Longueuil QC CA J4L4M5",,District 05 - Vieux-Longueuil,450 463-7311,
Parc Christ-Roi,"941, rue Duhamel Longueuil QC CA J4L2Y4",,District 06 - Vieux-Longueuil,450 463-7311,
Parc Daniel-Johnson,"5825, avenue Normand Saint-Hubert QC CA J3Y1M6",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311,
Parc D.E. Joyal,"1725,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311,
Parc de la Cité,"6201,  Saint-Hubert QC CA J3Y0E6",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311,
Parc de Normandie,"450, rue de Normandie Longueuil QC CA J4H3P4",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 646-8682,
Parc des Glaïeuls,"7451, rue des Jonquilles Saint-Hubert QC CA J3Y8P7",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311,
Parc Des Vétérans,"3400,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311,
Parc du centre sportif Rosanne-Laflamme,"7405,  Saint-Hubert QC CA J3Y7K8",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311,
Parc du Patriote-Joseph-Vincent,"1906,  Saint-Hubert QC CA J3Y4A3",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,,
Parc Empire,"193,  Greenfield Park QC CA J4V1T9",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311,
Parc Fernand-Bouffard,"1000, rue Duvernay Longueuil QC CA J4K4K9",,District 07 - Vieux-Longueuil,450 463-7311,
Parc Fonrouge,"301, rue Cuvillier Est Longueuil QC CA J4L4T7",,District 05 - Vieux-Longueuil,450 463-7311,
Parc Génération,"120, rue René-Philippe LeMoyne QC CA J4R2K1",,District 09 - Vieux-Longueuil,450 463-7311,
Parc Gérard-Carmel,"5200,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311,
Parc Gérard-Philipps,"3791,  Saint-Hubert QC CA ",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311,
Parc Immaculée-Conception,"3675, rue Rocheleau Saint-Hubert QC CA J3Y6C6",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311,
Parc Jean-de-Lalande,"1681, rue Bourassa Longueuil QC CA J4J3A5",,District 07 - Vieux-Longueuil,450 463-7311,
