"no_secteur","nom_secteur","telephone","cd_site","nom_site","descr_type_site","no_civique","nom_rue","code_postal","no_plateau","nom_plateau","capacite","descr_type_plateau","ind_sans_reserv"
"1","Secteur 1","450 662-4901","BOI","C.C. CENTRE BOILEAU","Centre communautaire","7100","BOULEVARD DES MILLE-ÎLES","H7A4B3","1309","LOCAL M-03 GYM","","Local permanent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","105","LOCAL 006","125","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","112","LOCAL 009","90","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","113","LOCAL 010","30","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","114","LOCAL 013","20","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","115","LOCAL 104","30","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","116","LOCAL 106","206","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","117","LOCAL 108","70","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","118","LOCAL 109","40","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","124","LOCAL 215","50","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","125","LOCAL 217","20","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","181","LOCAL 213","35","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","186","LOCAL 216","20","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","1346","LOCAL 212","10","Local polyvalent","O"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","1354","LOCAL 103","10","Local polyvalent","N"
"1","Secteur 1","450 662-4901","BPA","PAVILLON BOIS PAPINEAU","Centre communautaire","3235","BOULEVARD SAINT-MARTIN EST","H7E5G8","1373","CUISINE L.105","2","Local polyvalent","N"
"1","Secteur 1","450 662-4901","CCSVP","C.C. ST-VINCENT-DE-PAUL","Centre communautaire","1111","PLACE J.-EUDES-BLANCHARD","H7C1T1","187","SALLE POLYVALENTE","70","Salle polyvalente","N"
"1","Secteur 1","450 662-4901","CCSVP","C.C. ST-VINCENT-DE-PAUL","Centre communautaire","1111","PLACE J.-EUDES-BLANCHARD","H7C1T1","1333","SALLE EN HAUT","7","Autre","N"
"1","Secteur 1","450 662-4901","CHCOL","CHEVALIERS DE COLOMB S-F","Centre communautaire","","","","1344","SALLE EN BAS","","Salle polyvalente","N"
"1","Secteur 1","450 662-4901","CHCOL","CHEVALIERS DE COLOMB S-F","Centre communautaire","","","","1345","SALLE EN HAUT","","Salle polyvalente","N"
"1","Secteur 1","450 662-4901","COL","COLLÈGE LAVAL","Parc","","","","1210","TERRAIN DE SOCCER RÉGULIER 1","","Soccer / Football","N"
"1","Secteur 1","450 662-4901","COL","COLLÈGE LAVAL","Parc","","","","1211","TERRAIN DE SOCCER 7X7  2","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","COL","COLLÈGE LAVAL","Parc","","","","1212","TERRAIN SYNTHÉTIQUE REGULIER 3","","Soccer / Football","N"
"1","Secteur 1","450 662-4901","COL","COLLÈGE LAVAL","Parc","","","","1213","TERRAIN DE MICRO SOCCER 4","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","COL","COLLÈGE LAVAL","Parc","","","","1214","TERRAIN DE MICRO SOCCER 5","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","COL","COLLÈGE LAVAL","Parc","","","","1215","TERRAIN DE MICRO SOCCER 6","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","COL","COLLÈGE LAVAL","Parc","","","","1216","TERRAIN DE MICRO SOCCER 7","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","COL","COLLÈGE LAVAL","Parc","","","","1217","TERRAIN DE MICRO SOCCER 8","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","COL","COLLÈGE LAVAL","Parc","","","","1218","TERRAIN DE MICRO SOCCER 9","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","COL","COLLÈGE LAVAL","Parc","","","","1348","GYMNASE DOUBLE","","Gymnase","N"
"1","Secteur 1","450 662-4901","COL","COLLÈGE LAVAL","Parc","","","","1365","TERRAIN DE MICRO SOCCER","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","COL","COLLÈGE LAVAL","Parc","","","","1366","TERRAIN DE MICRO SOCCER","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","DDO","PARC DOLLARD-DES-ORMEAUX","Parc","1465","RUE SÉRIGNY","H7E1N8","1340","PATINOIRE LIBRE","","Patinoire extérieure - libre","O"
"1","Secteur 1","450 662-4901","EBJ","ECOLE DU BOIS-JOLI","École","955","RUE MIVILLE-DÉCHÊNE","H7E3A9","1239","GYMNASE","","Gymnase","N"
"1","Secteur 1","450 662-4901","ECOL","ÉCOLE COLLÈGE LAVAL","École","275","Rue Laval","H7C1W8","123","PISCINE INTÉRIEURE","","Piscine intérieure","N"
"1","Secteur 1","450 662-4901","ECOL","ÉCOLE COLLÈGE LAVAL","École","275","Rue Laval","H7C1W8","1349","GYMNASE DOUBLE","","Gymnase","N"
"1","Secteur 1","450 662-4901","EDO","ÉCOLE DES ORMEAUX","École","","","","1205","GYMNASE","","Gymnase","N"
"1","Secteur 1","450 662-4901","EESCL","ÉCOLE L'ESCALE","École","","RUE MYLÈNE","","1343","GYMNASE","","Gymnase","N"
"1","Secteur 1","450 662-4901","EESCL","ÉCOLE L'ESCALE","École","","RUE MYLÈNE","","1376","LOCAL MUSIQUE","","Local polyvalent","N"
"1","Secteur 1","450 662-4901","EESCL","ÉCOLE L'ESCALE","École","","RUE MYLÈNE","","1377","CLASSE PLOYVALENTE","","Local polyvalent","N"
"1","Secteur 1","450 662-4901","EFS","ECOLE FLEUR-SOLEIL","École","8585","RUE DE L'ÉGLISE","H7A1L1","1369","GYMNASE","100","Gymnase","N"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","120","GYMNASE A","","Gymnase","N"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","121","LOCAL 082","","Classe","O"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","122","PISCINE INTÉRIEURE","","Piscine intérieure","N"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","145","PALESTRE","","Palestre","N"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","146","SALLE DE CONDITIONNEMENT","","Salle d'entraînement","O"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","1262","LOCAL 1118 A","","Classe","N"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","1330","LOCAL 1125-B","","Classe","O"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","1332","LOCAL 1125-A","","Classe","N"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","1334","LOCAL 1129","","Classe","O"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","1351","GYMNASE B","","Gymnase","N"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","1352","AGORA","","Gymnase","O"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","1353","SALLE FÉLIX-LECLERC","","Salle polyvalente","O"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","1362","LOCAL 1106","","Classe","O"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","1367","LOCAL 1136C","","Classe","O"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","1368","LOCAL 1136B","","Classe","O"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","1370","LOCAL 1134","","Classe","O"
"1","Secteur 1","450 662-4901","EGV","ÉCOLE GEORGES-VANIER","École","3995","Boulevard Lévesque Est","H7E2R3","1371","LOCAL 1136-A","","Classe","O"
"1","Secteur 1","450 662-4901","ELEB","ÉCOLE LEBLANC","École","1750","Montée Masson","H7E4P2","139","GYMNASE 1","","Gymnase","N"
"1","Secteur 1","450 662-4901","ELEB","ÉCOLE LEBLANC","École","1750","Montée Masson","H7E4P2","140","GYMNASE 2","","Gymnase","N"
"1","Secteur 1","450 662-4901","ELEB","ÉCOLE LEBLANC","École","1750","Montée Masson","H7E4P2","141","GYMNASE 3","","Gymnase","N"
"1","Secteur 1","450 662-4901","ELEB","ÉCOLE LEBLANC","École","1750","Montée Masson","H7E4P2","142","GYMNASE 4","","Gymnase","O"
"1","Secteur 1","450 662-4901","ELEB","ÉCOLE LEBLANC","École","1750","Montée Masson","H7E4P2","143","PALESTRE","","Palestre","N"
"1","Secteur 1","450 662-4901","ELEB","ÉCOLE LEBLANC","École","1750","Montée Masson","H7E4P2","144","SALLE DE CONDITIONNEMENT","","Salle d'entraînement","O"
"1","Secteur 1","450 662-4901","ELEB","ÉCOLE LEBLANC","École","1750","Montée Masson","H7E4P2","1235","MEZZANINE 2405-2","","Classe","O"
"1","Secteur 1","450 662-4901","ELEB","ÉCOLE LEBLANC","École","1750","Montée Masson","H7E4P2","1342","AUDITORIUM","","Classe","O"
"1","Secteur 1","450 662-4901","ELEB","ÉCOLE LEBLANC","École","1750","Montée Masson","H7E4P2","1350","PETITE PALESTRE","","Palestre","O"
"1","Secteur 1","450 662-4901","ELEB","ÉCOLE LEBLANC","École","1750","Montée Masson","H7E4P2","1372","CLASSE 712","","Classe","O"
"1","Secteur 1","450 662-4901","ESC","PARC-ÉCOLE L'ESCALE","Parc","8050","Rue Mylène","H7A1G3","155","TERRAIN DE BASEBALL","","Terrain de baseball","N"
"1","Secteur 1","450 662-4901","ESC","PARC-ÉCOLE L'ESCALE","Parc","8050","Rue Mylène","H7A1G3","1230","PATINOIRE EXTÉRIEURE","","Patinoire extérieure - hockey","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","129","LOCAL 002","150","Local polyvalent","N"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","130","LOCAL 112","30","Local polyvalent","N"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","131","LOCAL 208","20","Local polyvalent","N"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","132","LOCAL 209","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","180","LOCAL 111","10","Local polyvalent","N"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1202","LOCAL 113","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1263","LOCAL 204","25","Local polyvalent","N"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1267","LOCAL 103","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1268","LOCAL 106","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1269","LOCAL 107","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1270","LOCAL 108","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1271","LOCAL 109","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1272","LOCAL 201","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1273","LOCAL 110","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1274","LOCAL 202","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1275","LOCAL 203","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1276","LOCAL 206","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1277","LOCAL 207","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1278","LOCAL 210","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1279","LOCAL A216","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1280","LOCAL A121","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1281","LOCAL A123","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1282","LOCAL A130","","Local permanent","O"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1283","LOCAL A218 CF","15","Local polyvalent","N"
"1","Secteur 1","450 662-4901","GRO","C.C. CENTRE GROULX","Centre communautaire","4901","Rue Saint-Joseph","H7C1H6","1374","LOCAL 220","20","Local polyvalent","N"
"1","Secteur 1","450 662-4901","HIB","PARC DES TREMBLES","Parc","","RUE DES PIGEONS","","1237","TERRAIN DE SOCCER","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","JAB","PARC JACQUES-BOURDON","Parc","55","Croissant De Callières","H7E3M8","106","PISC. EXT. - JACQUES-BOURDON","","Piscine extérieure","N"
"1","Secteur 1","450 662-4901","JAB","PARC JACQUES-BOURDON","Parc","55","Croissant De Callières","H7E3M8","147","TERRAIN DE BASEBALL 1","","Terrain de baseball","N"
"1","Secteur 1","450 662-4901","JAB","PARC JACQUES-BOURDON","Parc","55","Croissant De Callières","H7E3M8","167","TERRAIN DE BASEBALL 2","","Terrain de baseball","N"
"1","Secteur 1","450 662-4901","JAB","PARC JACQUES-BOURDON","Parc","55","Croissant De Callières","H7E3M8","1266","PATAU. EXT. -JACQUES-BOURDON","","Pataugeoire","N"
"1","Secteur 1","450 662-4901","JEA","PARC JEAN-XXIII","Parc","1125","Boulevard Vanier","H7C2N2","108","TENNIS - PARC JEAN-XXIII","","Terrain de tennis","N"
"1","Secteur 1","450 662-4901","JEA","PARC JEAN-XXIII","Parc","1125","Boulevard Vanier","H7C2N2","154","TERRAIN DE BASEBALL","","Terrain de baseball","N"
"1","Secteur 1","450 662-4901","JEA","PARC JEAN-XXIII","Parc","1125","Boulevard Vanier","H7C2N2","1335","PATINOIRE EXTÉRIEURE","","Patinoire extérieure - libre","O"
"1","Secteur 1","450 662-4901","LEB","PARC LEBLANC","Parc","1750","Montée Masson","","153","LEBLANC RÉG 1","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","LEB","PARC LEBLANC","Parc","1750","Montée Masson","","1209","LEBLANC RÉG 2","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","MAS","PARC MASSON","Parc","6655","Rue Duranleau","H7B1C5","156","TERRAIN 2 9X9","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","MAS","PARC MASSON","Parc","6655","Rue Duranleau","H7B1C5","157","TERRAIN RÉGULIER 1","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","MAS","PARC MASSON","Parc","6655","Rue Duranleau","H7B1C5","1208","PATINOIRE EXTÉRIEURE","","Patinoire extérieure - hockey","N"
"1","Secteur 1","450 662-4901","MOU","PARC DU MOULIN","Parc","1125","MONTÉE DU MOULIN","H7A2A2","100","PISC. EXT. - DU MOULIN","","Piscine extérieure","N"
"1","Secteur 1","450 662-4901","MOU","PARC DU MOULIN","Parc","1125","MONTÉE DU MOULIN","H7A2A2","102","TENNIS - DU MOULIN","","Terrain de tennis","O"
"1","Secteur 1","450 662-4901","MOU","PARC DU MOULIN","Parc","1125","MONTÉE DU MOULIN","H7A2A2","151","TERRAIN DE BASEBALL 1","","Terrain de baseball","N"
"1","Secteur 1","450 662-4901","MOU","PARC DU MOULIN","Parc","1125","MONTÉE DU MOULIN","H7A2A2","152","TERRAIN DE MINI SOCCER","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","MOU","PARC DU MOULIN","Parc","1125","MONTÉE DU MOULIN","H7A2A2","168","TERRAIN DE BASEBALL 2","","Terrain de baseball","N"
"1","Secteur 1","450 662-4901","MOU","PARC DU MOULIN","Parc","1125","MONTÉE DU MOULIN","H7A2A2","1231","PATINOIRE EXTÉRIEURE HOCKEY","","Patinoire extérieure - hockey","N"
"1","Secteur 1","450 662-4901","MOU","PARC DU MOULIN","Parc","1125","MONTÉE DU MOULIN","H7A2A2","1232","PATINOIRE EXTÉRIEURE PROMENADE","","Patinoire extérieure - promenade","N"
"1","Secteur 1","450 662-4901","MOU","PARC DU MOULIN","Parc","1125","MONTÉE DU MOULIN","H7A2A2","1242","TERRAIN DE BASKETBALL","","Terrain de basketball","N"
"1","Secteur 1","450 662-4901","MOU","PARC DU MOULIN","Parc","1125","MONTÉE DU MOULIN","H7A2A2","1265","PATAU. EXT.- DU MOULIN","","Pataugeoire","N"
"1","Secteur 1","450 662-4901","MOU","PARC DU MOULIN","Parc","1125","MONTÉE DU MOULIN","H7A2A2","1357","SALLE COMMUNAUTAIRE","","Salle polyvalente","N"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","103","CAMP DE JOUR-CDN","60","Camp de jour","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","165","TERRAIN DE BASEBALL 1","","Terrain de baseball","N"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","166","TERRAIN DE MINI SOCCER A","","Terrain de soccer","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","169","TERRAIN DE BASEBALL 2","","Terrain de baseball","N"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","170","PETIT  BASEBALL 4","","Terrain de baseball","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","171","TERRAIN DE BASEBALL 3","","Terrain de baseball","N"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","172","TERRAIN DE SOCCER B","","Terrain de soccer","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","173","TERRAIN DE SOCCER C","","Terrain de soccer","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","174","TERRAIN DE MINI SOCCER D","","Terrain de soccer","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","175","TERRAIN DE MINI SOCCER E","","Terrain de soccer","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","176","TERRAIN DE MICRO SOCCER F","","Terrain de soccer","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","177","TERRAIN DE MICRO SOCCER G","","Terrain de soccer","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","178","TERRAIN DE MICRO SOCCER H","","Terrain de soccer","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","183","SOUS-SOL","40","Salle polyvalente","N"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","190","VESTIAIRE FEMME","","Autre","N"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","191","VESTIAIRE HOMME","","Autre","N"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","192","TERRAIN DE MICRO SOCCER I","","Terrain de soccer","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","193","TERRAIN DE MICRO SOCCER J","","Terrain de soccer","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","194","TERRAIN DE MICRO SOCCER K","","Terrain de soccer","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","1243","ESTRADE","","Estrade","O"
"1","Secteur 1","450 662-4901","MUN","PARC MUNICIPAL - VANIER","Parc","3999","BOULEVARD DE LA CONCORDE EST","H7E5A5","1329","VANIER SOCCER-FOOTBALL","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","NDS","PARC NOTRE-DAME-DU-SOURIRE","Parc","230","Rue des Sapins","H7A2W7","109","TENNIS - NOTRE-DAME-DU-SOURIRE","","Terrain de tennis","O"
"1","Secteur 1","450 662-4901","RIV","PARC RIVARD","Parc","1180","Rue Foucher","","159","TERRAIN DE MINI 7X7 SOCCER","","Terrain de soccer","N"
"1","Secteur 1","450 662-4901","RIV","PARC RIVARD","Parc","1180","Rue Foucher","","1336","PATINOIRE EXTÉRIEURE","","Patinoire extérieure - libre","O"
